year,metro,facilityType,vmt,laneMiles,minElast,maxElast
2018,Allentown-Bethlehem-East Stroudsburg,Interstate/Freeway/Expressway,3189228015,826.376,0.7,1
2018,Allentown-Bethlehem-East Stroudsburg,Minor Arterial,1296687685,1010.016,0.5,0.7
2018,Allentown-Bethlehem-East Stroudsburg,Collector (Major and Minor),936835645,2216.331,0.5,0.7
2018,Allentown-Bethlehem-East Stroudsburg,Local,1168996815,9582.4,0.3,0.5
2018,Altoona-Huntingdon,Interstate/Freeway/Expressway,421752755,216.24,0.7,1
2018,Altoona-Huntingdon,Minor Arterial,258874060,387.072,0.5,0.7
2018,Altoona-Huntingdon,Collector (Major and Minor),248000710,1281.189,0.5,0.7
2018,Altoona-Huntingdon,Local,184425375,3372.4,0.3,0.5
2018,Bloomsburg-Berwick-Sunbury,Interstate/Freeway/Expressway,746270605,306.976,0.7,1
2018,Bloomsburg-Berwick-Sunbury,Minor Arterial,497865110,729.288,0.5,0.7
2018,Bloomsburg-Berwick-Sunbury,Collector (Major and Minor),376531445,2022.189,0.5,0.7
2018,Bloomsburg-Berwick-Sunbury,Local,318469435,6614,0.3,0.5
2018,Erie-Meadville,Interstate/Freeway/Expressway,968448660,424.424,0.7,1
2018,Erie-Meadville,Minor Arterial,693329910,1066.212,0.5,0.7
2018,Erie-Meadville,Collector (Major and Minor),424782255,2278.328,0.5,0.7
2018,Erie-Meadville,Local,395678615,6931.8,0.3,0.5
2018,Harrisburg-York-Lebanon,Interstate/Freeway/Expressway,4755525140,1267.336,0.7,1
2018,Harrisburg-York-Lebanon,Minor Arterial,1869585845,1774.332,0.5,0.7
2018,Harrisburg-York-Lebanon,Collector (Major and Minor),1793918790,4515.901,0.5,0.7
2018,Harrisburg-York-Lebanon,Local,1318333280,16534.8,0.3,0.5
2018,Johnston-Somerset,Interstate/Freeway/Expressway,711696710,455.8,0.7,1
2018,Johnston-Somerset,Minor Arterial,265654665,560.952,0.5,0.7
2018,Johnston-Somerset,Collector (Major and Minor),371635700,2050.594,0.5,0.7
2018,Johnston-Somerset,Local,291870425,5414.6,0.3,0.5
2018,Lancaster,Interstate/Freeway/Expressway,1531047615,362.096,0.7,1
2018,Lancaster,Minor Arterial,1075221745,734.58,0.5,0.7
2018,Lancaster,Collector (Major and Minor),799965755,1707.017,0.5,0.7
2018,Lancaster,Local,620148870,5483.6,0.3,0.5
2018,Philadelphia,Interstate/Freeway/Expressway,8708078750,1415.736,0.7,1
2018,Philadelphia,Minor Arterial,3928197160,2897.748,0.5,0.7
2018,Philadelphia,Collector (Major and Minor),2768538870,4531.956,0.5,0.7
2018,Philadelphia,Local,2697674850,22122.2,0.3,0.5
2018,Pittsburgh,Interstate/Freeway/Expressway,6652134490,2414.256,0.7,1
2018,Pittsburgh,Minor Arterial,3552286580,4408.488,0.5,0.7
2018,Pittsburgh,Collector (Major and Minor),2367269550,8982.649,0.5,0.7
2018,Pittsburgh,Local,2811068305,33579.4,0.3,0.5
2018,Reading,Interstate/Freeway/Expressway,1264360730,374.392,0.7,1
2018,Reading,Minor Arterial,609832510,510.048,0.5,0.7
2018,Reading,Collector (Major and Minor),445160570,1272.544,0.5,0.7
2018,Reading,Local,464850860,4864.4,0.3,0.5
2018,Scranton-Wilkes-Barre,Interstate/Freeway/Expressway,1979921695,757.688,0.7,1
2018,Scranton-Wilkes-Barre,Minor Arterial,922010075,1055.124,0.5,0.7
2018,Scranton-Wilkes-Barre,Collector (Major and Minor),539644105,1965.873,0.5,0.7
2018,Scranton-Wilkes-Barre,Local,702853855,6902,0.3,0.5
2018,State College-Dubois,Interstate/Freeway/Expressway,1028742645,488.448,0.7,1
2018,State College-Dubois,Minor Arterial,402464695,609.588,0.5,0.7
2018,State College-Dubois,Collector (Major and Minor),289088030,1629.706,0.5,0.7
2018,State College-Dubois,Local,209704910,4629.8,0.3,0.5
2018,Williamsport-Lock Haven,Interstate/Freeway/Expressway,305647715,162.392,0.7,1
2018,Williamsport-Lock Haven,Minor Arterial,74599795,228.564,0.5,0.7
2018,Williamsport-Lock Haven,Collector (Major and Minor),63435540,369.759,0.5,0.7
2018,Williamsport-Lock Haven,Local,48022685,890.2,0.3,0.5
2019,Allentown-Bethlehem-East Stroudsburg,Interstate/Freeway/Expressway,3264139155,833.584,0.7,1
2019,Allentown-Bethlehem-East Stroudsburg,Minor Arterial,1304718415,1007.244,0.5,0.7
2019,Allentown-Bethlehem-East Stroudsburg,Collector (Major and Minor),965260385,2215.837,0.5,0.7
2019,Allentown-Bethlehem-East Stroudsburg,Local,1180975020,9642.8,0.3,0.5
2019,Altoona-Huntingdon,Interstate/Freeway/Expressway,424504490,216.24,0.7,1
2019,Altoona-Huntingdon,Minor Arterial,256854515,387.072,0.5,0.7
2019,Altoona-Huntingdon,Collector (Major and Minor),249146810,1281.436,0.5,0.7
2019,Altoona-Huntingdon,Local,183749395,3375.2,0.3,0.5
2019,Bloomsburg-Berwick-Sunbury,Interstate/Freeway/Expressway,680135160,307.4,0.7,1
